"Time (s)","Acceleration x (m/s²)","Acceleration y (m/s²)","Acceleration z (m/s²)"
3.917562707E2,-1.504050016E0,2.338050127E0,9.886950493E0
3.917587252E2,-1.444950104E0,2.304000139E0,9.865050316E0
3.917611809E2,-1.461000085E0,2.280000210E0,9.834000587E0
3.917636368E2,-1.404000044E0,2.230050087E0,9.796050072E0
3.917660925E2,-1.327050090E0,2.170050144E0,9.838950157E0
3.917685483E2,-1.252950072E0,2.130000114E0,9.861000061E0
3.917710040E2,-1.156949997E0,2.062950134E0,9.909000397E0
3.917734599E2,-1.045050025E0,2.009999990E0,9.904050827E0
3.917759168E2,-9.559500217E-1,1.942950130E0,9.898950577E0
3.917783714E2,-8.599500656E-1,1.930950046E0,9.916050911E0
3.917808273E2,-7.770000100E-1,1.933050036E0,9.952050209E0
3.917832830E2,-7.410000563E-1,1.984050035E0,1.003095055E1
3.917857388E2,-7.290000319E-1,2.009999990E0,1.012395000E1
3.917881945E2,-7.650000453E-1,2.077050209E0,1.015500069E1
3.917906504E2,-8.050500154E-1,2.170050144E0,1.018395042E1
3.917931061E2,-7.980000377E-1,2.230050087E0,1.021695042E1
3.917955630E2,-8.340000510E-1,2.280000210E0,1.019595051E1
3.917980175E2,-8.460000157E-1,2.340000153E0,1.017195034E1
3.918004732E2,-8.599500656E-1,2.359050035E0,1.013595009E1
3.918029291E2,-9.270000458E-1,2.395050049E0,1.011000061E1
3.918053849E2,-1.006049991E0,2.500950098E0,1.009800053E1
3.918078406E2,-1.096950054E0,2.568000078E0,1.012905025E1
3.918102965E2,-1.200000048E0,2.640000105E0,1.014300060E1
3.918127522E2,-1.300950050E0,2.680050135E0,1.012200069E1
3.918152091E2,-1.387050033E0,2.697000027E0,1.015500069E1
3.918176637E2,-1.488000035E0,2.713950157E0,1.017405033E1
3.918201194E2,-1.600050092E0,2.719050169E0,1.017705059E1
3.918225753E2,-1.662000060E0,2.721000195E0,1.016895008E1
3.918250311E2,-1.729950070E0,2.722950220E0,1.018905067E1
3.918274868E2,-1.758000135E0,2.733000040E0,1.018095016E1
3.918299427E2,-1.773000121E0,2.685000181E0,1.015995026E1
3.918323984E2,-1.753050089E0,2.649000168E0,1.017195034E1
3.918348554E2,-1.722000122E0,2.599050045E0,1.015800095E1
3.918373098E2,-1.636050105E0,2.544000149E0,1.016895008E1
3.918397658E2,-1.549950123E0,2.449950218E0,1.020105076E1
3.918422215E2,-1.429950118E0,2.400000095E0,1.018605042E1
3.918446772E2,-1.333950043E0,2.371050119E0,1.017705059E1
3.918471329E2,-1.270050049E0,2.307000160E0,1.011900043E1
3.918495888E2,-1.203000069E0,2.295000076E0,1.007100010E1
3.918520445E2,-1.138050079E0,2.272950172E0,9.999000549E0
3.918545016E2,-1.105050087E0,2.235000134E0,9.942000389E0
3.918569560E2,-1.138050079E0,2.295000076E0,9.889050484E0
